상품명,규격,단위수량,표준바코드,본사바코드,대표바코드,물류바코드,상품구분,제품설명
상공탄력붕대(중),10cm*1.9m,1,8809291820326,,,,비의약품,-
상공탄력붕대(소),7.5cm*1.9m,1,8809291820289,,,,비의약품,-
카봇선풍기비타민,24T,1,8809434841539,,,,비의약품,-
큐디액,100ml,1,88064180008216,,,,일반의약품,"마시는 피로회복제
코엔자임 Q-10 함유"
마그셀연질캡슐,60c*2EA,2,18806452038818,,,,일반의약품,"근육경련,눈떨림이 잦은 분께 추천"
황한당센나분포,50p,1,8806647001125,,,,일반의약품,"변비로 인한 식욕 부진,복부팽만감 해소"
다제스캡슐,10c,1,8806453001616,,,,일반의약품,"3단 작용 캡슐로
효과좋은 종합소화제"
밴드세븐,20매,1,8809303220656,,,,비의약품,-
파워스탑플라스타,10매,1,8806476010220,,,,일반의약품,"관절염,근육 통증 완화에 효과적인 파스"
비피락DR,60c,1,6292620003989,,,,건강기능식품,-
바렌굿네일라카,4ml,1,8806416059814,,,,일반의약품,-
아벤느클리낭스엑스퍼트,40ml,1,3282770037678,,,,비의약품,-
붕산,100g,1,8809034589954,,,,비의약품,-
필모겔손발,3.25ml,1,3401062080554,,,,비의약품,-
필모겔구내염,6ml,1,3401098089279,,,,비의약품,-
니베아선키즈프로텍트&센서티브스프레이(2015),200ml,1,4005900121165,,,,비의약품,-
니베아선프로텍트&센서티브로션(2015),200ml,1,4005808655311,,,,비의약품,-
헬스아쿠아밴드방수용(XL),2매,1,8809003722344,,,,비의약품,-
니베아엑스트라화이트스프레이,200ml,1,4005900007513,,,,비의약품,-
레가론70,30c,1,8806422002118,,,,일반의약품,"독일산 원료,간수치 개선에 도움"
숯완전미세모칫솔,1EA,1,8809003410265,,,,비의약품,-
지노베타딘질세정액,360ml,1,8806530020455,,,,일반의약품,여성의 필수품
F3꿈치브러쉬,1EA,1,8806317509395,,,,비의약품,-
F3종아리알마사져,1EA,1,8806317509388,,,,비의약품,-
F3세라믹풋파일,1EA,1,8806317505557,,,,비의약품,-
F3스텐레스풋파일(각질리무버),1EA,1,8806317511985,,,,비의약품,-
F3메탈켈로스리무버,1EA,1,8806317505540,,,,비의약품,-
F3켈로스레이져(세이프티각질면도기),1EA,1,8806317507377,,,,비의약품,-
F3메탈헤드콘커터,1EA,1,8806317505564,,,,비의약품,-
뉴대일밴드(덕용),20매,1,8802260000064,,,,비의약품,-
덴큐정,60T*4EA,4,18806429000954,,,,일반의약품,"효과좋은 잇몸영양제
인사돌 동일 제품(80일)"
원통면봉,50p,1,8802173001325,,,,비의약품,-
젤존팝카타플라스마,6EA,1,8806606002132,,,,일반의약품,효과빠른 통증 치료제
피지오머스트롱비강세척액,210ml,1,8806445012330,,,,일반의약품,"멸균해수/비강 질환의 보조 요법
6세이상 사용 권장,분사압中"
피지오머젠틀비강세척액,135ml,1,8806445012323,,,,일반의약품,"멸균해수/비강 질환의 보조 요법
10세이상 사용 권장,분사압上"
피지오머키즈비강세척액,115ml,1,8806445012347,,,,일반의약품,"멸균해수/비강 질환의 보조 요법
혼자 사용 가능한 어린이용"
피지오머베이비비강세척액,115ml,1,8806445012316,,,,일반의약품,"멸균해수/비강 질환의 보조 요법
하루 2번,2회씩 분사"
케어칼디엠정,60T*4EA,1,8806429052215,,,,일반의약품,"칼슘,비타민D 복합제"
연고면봉,30p,1,8807494141217,,,,비의약품,-
캐릭터전자체온계,1EA,1,4052199218205,,,,비의약품,-
바로테스트,1KIT,1,8806121702326,,,,비의약품,-
맘스오메가3,90c,1,8809148003063,,,,건강기능식품,-
자외선차단마스크꽃무늬,1EA,1,8809239312203,,,,비의약품,-
자외선차단마스크민무늬,1EA,1,8809239312302,,,,비의약품,-
홈키파마이키파퓨어미스트,150ml,1,8809401600602,,,,비의약품,-
명심고카타플라스마,1EA,1,8806436010413,,,,일반의약품,-
부광탁스칫솔,1EA,1,8806007327377,,,,비의약품,-
좋은습관컴팩트슬림모,1EA,1,8806016212114,,,,비의약품,-
다이어트솔루션S1스킨스타킹,1EA,1,8801972980039,,,,비의약품,-
다이어트솔루션S1블랙스타킹,1EA,1,8801972980022,,,,비의약품,-
다이어트솔루션S1커피스타킹,1EA,1,8801972980015,,,,비의약품,-
베이비파우더핸드크림,60g,1,8809206531491,,,,비의약품,-
닥터덴트프리티,90EA,1,8809167445080,,,,비의약품,-
판시딜액5%,180ml,1,8806534020932,,,,일반의약품,"남성을 위한 탈모약
모발을 두껍고 잘 나오게"
판시딜액5%,60ml,1,8806534020925,,,,일반의약품,"남성을 위한 탈모약
모발을 두껍고 잘 나오게"
아큐첵액티브혈당기계,1EA,1,4015630065929,,,,비의약품,-
아웃키퍼액(이카리딘),50ml,1,8806023014213,,,,비의약품,-
아웃키퍼파워액,50ml,1,8806023014237,,,,비의약품,-
원케어네일라카,4ml*2EA,2,28806438024719,,,,일반의약품,"손톱,발톱 무좀 치료제"
가는실왁스치실,50m,1,8809375490179,,,,비의약품,-
탄력가압허리벨트,XL,1,8809348670232,,,,비의약품,-
탄력가압허리벨트,L,1,8809348670225,,,,비의약품,-
발포가르시니아버블샷파인애플맛,14p,1,8809353377416,,,,건강기능식품,-
발포가르시니아버블샷(라임),14p,1,8809353377423,,,,건강기능식품,-
포토덤미네랄스프레이SPF50+,100g,1,8809371191001,,,,비의약품,-
베노벡스겔,15g,1,8806422036212,,,,일반의약품,"멍,부기,타박상에 바르는 멍약
상처나 감염된 부위 피해 하루 수회사용"
진지발리스프로젝트치약,120g,1,8801046996805,,,,비의약품,-
